date,one,two,three,four,five,six,seven,eight,nine,ten,ele,binary,change_val
20160628,0.591207997,-0.252516245,-0.165161977,0.334127121,1.248210606,0.250058053,0.74509332,2.703170359,-0.212535829,0.172810157,2.996109609,0,-15
20160706,-1.424697053,-2.057257518,-1.366944686,-1.16475101,-0.890946863,-1.76225891,-2.350771771,-1.88204213,-1.954305251,-0.288590248,-1.166199749,1,7
20160712,0.985558609,1.24880605,0.545894274,-0.052523526,-0.046055887,0.394632725,-0.696878536,1.18391638,0.567893233,0.38536797,-0.533224526,0,-0.8
20160715,-0.412859782,1.631522732,0.184559148,0.346335115,-0.044833017,-0.639463774,0.789287523,4.220091117,-0.424103155,-0.605297485,-1.744452513,0,-1
20160718,0.641815026,-0.455595539,-0.526221496,-0.60261098,0.394592978,0.299968355,0.092691314,4.511244679,0.865723828,0.211848659,0.388261,1,3.3
20160721,0.939955963,0.181526669,0.021738551,0.670132516,-0.729421836,-0.037395597,0.640605252,3.353346778,-0.907530848,-0.358416288,-0.50518612,0,-2.5
20160727,1.139601161,0.146432076,0.233198973,0.751514654,-0.731108926,-0.654268315,0.053533039,5.149127935,-0.080413553,0.302158968,-2.664042764,0,-3.5
20160802,-1.461680235,-1.665771908,-0.44092721,-0.572676128,0.62336358,0.017934983,-1.464930497,2.038404293,-0.482550504,-0.168469066,0.432452671,0,-0.5
20160805,1.18293618,0.689028193,0.426188352,1.297658889,-1.439203048,0.338079712,1.158295889,6.462564547,0.966900752,-0.525835263,-1.299064347,0,-1.5
20160808,0.365402839,1.136960371,0.430093044,0.281575109,1.708900795,-0.446006722,0.831314323,2.543231737,-2.226258525,0.559586127,1.091878701,0,-4.8
20160811,-0.071736125,-0.836166549,0.327318119,0.505953095,0.103568032,-0.068412229,0.878260302,3.714090144,0.308315126,0.112567051,-0.045389569,1,7
20160817,-0.638856601,-0.504663174,-0.06174814,-0.910423348,-1.691527546,-0.215653954,0.044127806,1.666369889,-0.261008169,0.174030144,-1.198597249,1,18.5
20160823,0.061406251,0.208019539,-0.232101493,-0.703343458,0.767957886,-0.461310988,-0.725148175,3.079209202,0.51628379,-0.305181639,1.676127922,0,-5.5
20160826,-0.358914548,-0.794373891,0.883680676,0.152482365,0.831276136,0.18100234,-1.083635433,-0.357880247,-0.445688324,0.116399021,0.787190994,0,-1.7
20160829,-2.140116584,0.486321848,-1.110790519,-1.28529474,-0.754055413,-2.334608243,-1.447769317,1.338650936,-0.861581247,-1.180985987,-1.850897711,1,8.2
20160901,0.742513151,1.943456818,-0.167701166,0.647960407,0.233483045,0.141069539,-1.628776703,2.664290573,-0.163200817,-0.352168022,0.894788418,1,4.5
20160907,-0.775284445,0.304429794,0.031900586,0.350329177,-1.224776522,-0.388604434,-1.291029234,2.610207032,0.920154679,-0.089278391,-1.205876916,0,-16.5
20160913,-1.450336848,-1.981377094,-0.490001928,-0.580987074,0.083066169,-0.318117225,0.274254232,3.045842243,-1.165543869,-0.268046558,-0.100453038,1,8.5
20160919,0.603570116,-0.04038414,0.442508508,0.145995042,0.620126173,-0.062769404,2.070417964,3.280298743,-1.181418069,0.379017699,0.357017827,0,-4.5
20160922,1.162241878,-0.231639214,0.574027257,1.06615518,1.025997024,0.349682563,0.201417343,3.035384474,0.259690004,1.783484201,0.458243952,0,-15
20160928,-0.805034804,-0.364187066,-0.356753999,-0.664401252,-0.072824185,-0.156362766,-0.606423405,0.965924068,-0.025923158,0.576156941,-0.083527287,0,-1.5
20161006,0.94740597,-0.101710146,-1.08756016,-0.746204733,-1.060013496,-0.494155048,-0.443339075,4.648559336,-0.523264753,-0.693034867,-1.384278273,1,3.5
20161012,0.115745462,0.243083354,0.731841421,0.38993547,0.76069182,0.006718188,-0.094067787,3.654204951,0.492083264,-0.020567451,1.109724079,1,4
20161018,1.746737057,1.555711247,0.235432558,0.418223931,0.620487339,1.317252602,0.109153566,2.811692089,2.22638756,0.64555717,0.215307721,0,-11.5
20161021,-0.31491337,0.122751064,-0.369885653,-0.117793783,-0.01481475,-0.273626265,-0.914697944,3.533095194,-0.29780971,-0.651222063,0.84970038,1,12.5
20161024,1.326332741,1.176781683,0.066731967,0.330108552,-0.318912439,-0.171512794,0.383848975,4.297660712,0.772373093,0.732756309,-1.375680688,0,-8
20161027,0.421539831,0.822944278,0.474258592,-0.746552737,0.749003797,0.361450316,0.535293517,2.646657534,0.242320308,0.536217129,1.376388841,1,9
20161102,-1.927846042,-1.268413071,-2.010932563,-1.959384729,-2.09168004,-1.771595363,-2.3543914,1.736455818,-0.199735523,-2.291342903,-5.151000527,1,2
20161108,1.317748373,-0.739968565,0.619408895,0.068558249,0.779811008,0.331403333,-0.524842401,2.590462838,0.424345582,0.202292661,1.067657089,0,-7
20161111,0.503274136,1.554640544,-0.161118508,0.571253138,-1.541580784,-0.214402378,-1.809242393,4.168133274,2.204512132,-2.621122417,-0.364187068,1,8
20161114,0.366864869,-0.098526185,-0.199971519,0.53771897,-0.283077622,1.751886432,-0.079616287,6.759453637,1.299807214,-0.858950345,-0.235425755,1,7
20161117,-0.518430884,-0.208969125,0.146578348,0.741953315,-0.151775162,-0.32425328,0.916280221,2.920088985,-0.384537541,-0.221729517,-1.830063198,1,2
20161123,-0.871594814,1.669510136,-0.531800355,-0.838677384,-0.895345146,-0.479833023,-0.337278496,1.678152214,-0.060510727,0.055151163,-4.333748072,0,
20161129,0.191543507,-0.126428622,0.452014395,-0.379748592,2.835266698,0.973436745,0.75765004,1.164396146,0.449224081,1.431127217,1.14112041,0,-2
20161201,0.60654481,0.242528559,-0.247524985,-0.647742415,-0.395451922,1.218479242,0.50577105,5.422686794,1.298374381,-1.525345933,-2.203150556,0,-2.5
20161207,-0.149284114,0.197049029,-0.409170196,-0.303111889,0.159964112,-0.038628561,-0.094243885,0.514271268,0.625568121,-0.038480381,-4.432109455,0,-8
20161213,0.117805991,-0.417495835,1.506640781,-0.346056511,0.714167235,0.717352546,1.133193696,2.430552197,-0.718493319,0.244586824,4.976336914,0,-2.5
20161216,-0.454843278,0.427304347,-0.928361209,-0.715269405,-0.073666883,-0.666765899,0.43133745,2.143527418,-0.910147503,-0.006266829,-1.262680629,1,2
20161219,-1.300476237,0.016611925,-0.080760742,-0.845502644,-0.366097579,-0.73377048,-0.255767956,1.900885945,-1.269864116,0.095516699,-1.349143357,1,2
20161222,0.075085073,0.08794866,-0.694890863,-0.313192486,-0.174162765,0.026963923,0.321128592,2.345747913,0.028445297,-0.284683633,-0.412873671,1,9
